EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,PLAN_ESTUDIOS_DETERMINANTE,TIPOS_ESPACIOS,OTROS_TIPO_ESPAC,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,OTROS_ELEC_CARRERA,MATERIA1,MATERIA2,MATERIA3,MATERIA4,MATERIA5,CALIFM1,CALIFM2,CALIFM3,CALIFM4,CALIFM5,INFLU_MEDIATICA,CARR_PROF_PADRES,,,
22,Hombre,Ingeniería en Computación,18,4,4,2,5,4,1,5,5,1,2,1,Oficinas,,Liderazgo,Proactivo,Innovación,Adaptabilidad,,7,8,6,8,,Personal,,Matematicas,Informatica,,,,9,10,,,,Ninguno,S/carrera,,,
21,Hombre,Ingeniería en Computación,18,4,5,5,5,3,1,1,1,5,3,4,Oficinas,,Analisis,Observacion,Logica,Destreza,R/H,7,9,8,7,6,Personal,,Logica,Informatica,Psicologia,,,10,10,8,,,Web / Redes Soc,Diferente,,,
20,Hombre,Ingeniería en Computación,15,4,5,5,4,4,5,3,3,3,3,4,Oficinas,,Ingenio,Disciplina,Análisis,Lógica,Orden,8,10,8,8,9,Personal,,Calculo,Cibernetica,,,,,,,,,Web / Redes Soc,S/carrera,,,
21,Mujer,Ingeniería en Computación,18,4,4,3,5,5,1,1,1,1,1,4,Oficinas,,Capacidad de análisis,Capacidad de desarrollo,Trabajo en equipo,Hablar otro idioma,Autodidacta,9,9,10,7,10,Personal,,,,,,,,,,,,Ninguno,Diferente,,,
21,Mujer,Ingeniería Eléctrica Electrónica,17,1,4,5,5,1,1,1,3,1,1,1,Oficinas,,Abstraccion,Matemática,,,,9,8,,,,Personal,,Matematicas,Fisica,Idioma,,,8,10,10,,,Web / Redes Soc,Diferente,,,
20,Mujer,Ingeniería Industrial,18,4,5,5,3,5,4,5,3,5,5,5,Oficinas,Industrias,Analisis,Investigacion,Resolver problemas,Atención,Observación,8,8,9,7,9,Personal,,Algebra,Calculo,Probabilidad,Economia,,7,8,8,7,,Ninguno,S/carrera,,,
19,Hombre,Ingeniería en Computación,17,4,4,5,5,4,5,4,1,1,3,1,Extranjero,,Razonamiento,Imaginacion,Creatividad,Adaptacion,Actualizacion,7,8,8,9,7,Personal,,,,,,,,,,,,Web / Redes Soc,S/carrera,,,
22,Hombre,Ingeniería Mecatrónica,18,4,4,5,2,1,1,3,1,1,2,5,Extranjero,,Análisis,Lógica,Aplicación,Destreza,Sociales,9,10,8,9,9,Personal,,Matemáticas,Física,Computación,Química,,10,10,10,9,,Web / Redes Soc,Similar,,,
21,Hombre,Ingeniería en Computación,19,5,5,4,1,2,2,4,4,2,2,4,Oficinas,,Analisis,Memoria,Comprension,Creatividad,Autodidacta,9,8,9,8,8,Personal,,Matemáticas,Física,Informática,,,8,8,9,,,TV/Medios impresos,Diferente,,,
20,Mujer,Ingeniería en Computación,17,5,5,5,5,5,4,2,1,1,1,4,Oficinas,,Comprension,Trabajo en equipo,Logica,Analisis,,8,6,8,8,,Personal,,Matematicas,Computacion,Geometria,,,9,10,8,,,Ninguno,Misma,,,
27,Hombre,Ingeniería Mecánica,15,5,5,5,1,1,1,1,1,4,1,5,Campo,,Analizar,Generar,Estructurar,Investigar,Aplicar,9,9,9,8,10,Personal,,Fisica,Matematicas,Geometria,Quimica,Calculo,9,10,9,8,10,Web / Redes Soc,Diferente,,,
22,Hombre,Ingeniería Geofísica,18,5,4,5,1,5,5,1,1,1,4,5,Campo,,Matemáticas,Programación,Comprension,Condición física,Facilidad de expresión verbal,8,6,8,10,9,Personal,,Geología y mineralogía,Geografía,,,,10,9,,,,Ninguno,Similar,,,
21,Mujer,Ingeniería en Computación,16,5,5,4,2,1,1,1,1,2,2,4,Oficinas,,Perseverancia,Ser observador,Lógica,Tenacidad,Paciencia,10,8,9,9,10,Personal,,Informática,Opción técnica,,,,10,9,,,,Ninguno,Diferente,,,
21,Hombre,Ingeniería en Computación,18,5,4,2,5,5,5,5,5,1,3,4,Oficinas,,Disciplina,Profesionalismo,Proactivo,Curioso,,5,6,9,9,,Personal,,Matemáticas,Lógica,Español,,,10,9,8,,,Ninguno,Diferente,,,
21,Mujer,Ingeniería en Computación,17,4,5,4,5,1,1,1,1,1,1,1,Oficinas,,Inteligencia,Lógica,Paciencia,Disciplina,Perseverancia,9,8,2,7,8,Personal,,Filosofía,Matemáticas,Física,Computación,,6,10,8,9,,Ninguno,Diferente,,,
19,Hombre,Ingeniería en Computación,17,5,5,,4,5,1,1,1,1,3,5,Oficinas,,Sociabilidad,Observación,Analisis,Planeación,,7,9,8,7,,Personal,,Informática,Computacion,Algoritmos,Derecho,TIC,10,10,9,9,9,Ninguno,Similar,,,
19,Hombre,Ingeniería en Computación,18,3,5,3,2,5,5,,3,4,3,1,Oficinas,,Disciplina,Pasion,Responsabilidad,Analisis,,8,9,10,10,,Personal,,Matematicas,Fisica,Logica,,,10,10,10,,,Web / Redes Soc,Diferente,,,
21,Hombre,Ingeniería en Computación,18,2,4,5,5,4,4,4,1,4,3,2,Oficinas,,Creatividad,Pensamiento lógico,Diseño,Habilidad Matematica,Trabajo en equipo,7,8,8,8,9,Personal,,Informatica,Calculo,Logica,Geometria,Algebra,10,8,10,9,10,Web / Redes Soc,Diferente,,,
26,Hombre,Ingeniería en Computación,21,4,5,4,1,2,3,3,2,1,1,4,Extranjero,,Abstraccion,Logica,Habilidad Matemática,Resolución de problemas,Trabajo en equipo,9,8,8,8,5,Personal,,Programacion,Introduccion a la computacion,Redes digitales,Circuitos digitales,Dispositivos digitales,9,10,8,10,9,Web / Redes Soc,S/carrera,,,
22,Hombre,Ingeniería en Computación,17,4,5,4,1,2,1,1,1,5,5,5,Extranjero,,Razonamiento logico,Paciencia,Habilidad Matemática,Resolución de problemas,Abstraccion,8,10,8,8,7,Personal,,Diseño digital,Electronica,Fisica,Algebra,Electronica digital,10,10,10,9,10,Carrera de moda,S/carrera,,,
18,Hombre,Ingeniería en Computación,18,5,5,4,4,1,5,5,1,1,2,1,,,Programar,Logica,Investigacion,Trabajo en equipo,Matematicas,9,10,8,8,9,Personal,,Matematicas,Logica,Informática,,,8,9,8,,,Web / Redes Soc,Diferente,,,
22,Hombre,Ingeniería Geofísica,18,4,5,5,3,4,4,1,1,3,5,5,Campo,,matematica,campo,logica,computacional,interdiciplina,7,9,8,5,10,Personal,,calculo,geografía,fisíca,computación,idiomas,8,9,8,5,8,Web / Redes Soc,Diferente,,,
22,Hombre,Ingeniería Geofísica,17,4,5,2,1,1,4,5,1,4,4,2,Extranjero,,matematica,fisica,analisis,computo,inglés,9,9,10,9,8,Personal,,calculo,etimologicas,fisíca,derecho,psicologia,10,10,10,8,10,Carrera Nueva,Diferente,,,
20,Hombre,Ingeniería Geofísica,17,5,4,5,1,4,5,5,5,5,5,5,Campo,,matematica,lingüistica,fisica,logica,espacial,9,9,9,9,8,Personal,,matematicas,fisica,orientación educativa,etimologicas,derecho,8,7,8,6,9,Ninguno,Diferente,,,
22,Hombre,Ingeniería Geofísica,17,4,4,5,5,5,5,1,5,3,3,5,Otros,todos,matematica,programacion,idiomas,espacial,redaccion,10,8,7,10,8,Personal,,calculo,geometria,derecho,dibujo,fisica,10,9,9,8,9,Ninguno,S/carrera,,,
22,Hombre,Ingeniería Geofísica,18,4,5,5,5,5,5,5,1,4,4,4,Campo,,fisico-matematica,ubiacion,imaginacion espacial,observacion,interpretacion,8,10,8,7,9,Personal,,fisica,quimica,matematicas,redaccio,idiomas,8,8,10,8,8,Ninguno,S/carrera,,,
22,Hombre,Ingeniería Geofísica,17,2,3,3,4,1,1,1,1,1,4,1,Extranjero,,abstracta,matematica,social,logica,redaccion,7,7,8,7,7,Personal,,calculo,fisica,dibujo,pintura,quimica,9,10,10,1,8,Ninguno,S/carrera,,,
21,Hombre,Ingeniería Geofísica,17,4,3,5,2,2,1,1,5,5,5,5,Campo,,fisica,matematica,programacion,inglés,exposicion de temas,9,10,9,10,9,Personal,,calculo,fisica,geometria,derecho,idiomas,9,9,8,8,9,Ninguno,Diferente,,,
21,Mujer,Ingeniería Industrial,18,5,5,5,1,3,2,1,1,1,1,5,Extranjero,,Idioma,Analisis,Lectura,Sensibilidad,Investigacion,8,9,9,9,7,Personal,,Literatura,Historia,Lengua Española,,,10,10,9,,,Ninguno,Diferente,,,
22,Mujer,Ingeniería Industrial,18,4,3,4,5,5,2,3,4,1,1,1,Oficinas,,Habilidad lectora,Ingles,Analisis,Investigacion,,7,8,8,8,,Personal,,Metodologia,Historia,Derecho,Logica,Matematicas,8,8,8,9,8,TV/Medios impresos,Diferente,,,
24,Mujer,Ingeniería Eléctrica Electrónica,19,5,5,4,3,4,1,1,1,3,5,3,,Todos,Matemáticas,Creatividad,Expresion oral y escrita,,,7,7,7,,,Personal,,Fisica,Quimica,Matematicas,,,7,10,8,,,Ninguno,Similar,,,
19,Mujer,Ingeniería en Computación,18,3,3,5,5,2,5,1,4,3,5,5,Oficinas,,Pensamiento abstracto,Analisis,Razonamiento,Creatividad,Organización,7,7,7,5,5,Personal,,Matematicas,Temas selectos de matematicas,,,,10,9,,,,Ninguno,Diferente,,,
22,Hombre,Ingeniería Geológica,17,5,5,5,4,5,2,2,1,1,5,5,Campo,,Liderazgo,Idioma,Trabajo en quipo,Primeros Auxilios,Computación,7,6,10,5,8,Personal,,Algebra,Mecánica,Geografía,Cómputo,Inglés,8,8,10,9,8,Ninguno,Diferente,,,
24,Hombre,Ingeniería en Computación,18,4,4,4,4,4,4,4,4,4,4,4,Oficinas,,Proactivo,Razonamiento,Administración,Liderazgo,Empatía,9,9,9,9,8,Personal,,,,,,,,,,,,Ninguno,S/carrera,,,
23,Hombre,Ingeniería en Computación,18,4,5,5,5,1,5,5,1,2,2,1,Oficinas,,Lógica,Paciencia,Constancia,Ética,Razonamiento,8,10,8,9,8,Familiares,,Física,Estádistica,Cálculo,Geometría,Álgebra,8,10,10,8,9,Ninguno,S/carrera,,,
26,Hombre,Ingeniería en Computación,22,2,5,2,2,5,1,1,1,5,4,4,Oficinas,,Razonamiento,Curiosidad,Creatividad,Lógica,Paciencia,8,8,7,8,10,Personal,,Matemáticas,Física,Diseño,Inglés,Ética,9,8,9,8,9,Ninguno,Similar,,,
25,Hombre,Ingeniería en Computación,15,2,2,5,4,4,5,5,1,4,4,1,Oficinas,,Liderazgo,Trabajo en equipo,Inteligencias,Disciplina,Lógica,8,9,8,7,9,Personal,,Programación,Lógica,Matemáticas,Filosofía,Física,7,8,9,8,8,Ninguno,Similar,,,
21,Hombre,Ingeniería en Computación,16,4,3,5,5,1,3,2,1,2,3,4,Oficinas,,Ingenio,Responsabilidad,Criterio,Pensamiento Analítico,Abstracción,8,7,9,9,8,Personal,,Álgebra,Informática,Geometría Analítica,Física,Cálculo,9,10,8,10,9,Ninguno,Diferente,,,
22,Hombre,Ingeniería en Computación,16,5,5,4,3,2,1,1,1,2,2,3,Oficinas,,Razonamiento,Dedicación,Paciencia,Practicar,Trabajo en equipo,8,8,9,8,7,Personal,,Cálculo,Cibernética,Matemáticas,Física,Computación,,,,,,Web / Redes Soc,Diferente,,,
22,Mujer,Ingeniería Geofísica,17,4,5,5,1,2,3,1,1,4,4,5,Campo,,Programar,Geología,Manejo de equipo,Interpretación,,6,8,8,7,,Personal,,Matemáticas,Cálculo Diferencial,Cálculo Integral,,,9,10,9,,,Web / Redes Soc,Diferente,,,
22,Hombre,Ingeniería en Telecomunicaciones,17,4,4,5,5,4,5,5,5,4,3,3,Oficinas,,Diseño,Resolución de problemas,Habilidades comunicativas,Investigación,Habilidades informáticas,8,9,10,8,9,Personal,,Cálculo,Cibernética,Comunicación,Física,Economía,9,9,10,9,8,Web / Redes Soc,S/carrera,,,
22,Hombre,Ingeniería en Computación,18,4,4,5,1,5,5,4,1,4,5,2,Extranjero,,Ingenio,Programación,Matemáticas,Trabajo en equipo,Eficacia,8,6,9,8,9,Personal,,Matemáticas,Química,Informática,Psicología,Derecho,10,9,9,8,6,Ninguno,Diferente,,,
21,Hombre,Ingeniería en minas y metal urgía ,17,2,3,5,1,4,5,5,2,4,5,1,Campo ,,Resolver problemas,Análisis financiero ,Trabajo en equipo,Idiomas ,Conocimientos de normas,9,9,5,7,6,Otros ,No se exactamente ,Cálculo ,Administración ,Estadística ,Comunicación ,Matemáticas ,8,10,9,10,10,Ninguno ,Similar ,,,
23,Mujer,Ingenieria geológica ,17,4,4,5,2,2,2,2,2,1,2,2,Campo ,,Trabajo en equipo ,Idiomas,Conocimiento del contexto ambiental ,Geohistoria,Lógica ,4,4,5,5,5,Personal ,,Química ,Matemáticas,Física ,Termodinámica ,Probabilidad ,8,8,8,,,Ninguno ,Diferente ,,,
18,Mujer,Ingeniería civil ,15,5,3,4,4,5,5,1,1,2,3,1,Campo ,,Creatividad ,Ingenio ,Rapidez ,Desempeño ,Excelencia ,5,5,5,5,2,Personal ,,Química ,Física ,Cálculo ,,,10,10,6,,,Tv/medios impresos ,Diferente ,,,
18,Mujer,Ingeniería civil ,18,4,4,5,5,5,5,5,2,4,4,4,Campo ,,Imaginación ,Innovación ,Creatividad ,Desempeño ,,8,8,9,8,,Personal ,,Cálculo ,Geometría analítica ,Física ,,,8,9,9,,,Tv/medios impresos ,Diferente ,,,
22,Hombre,Ingeniería civil ,16,5,4,5,5,4,5,2,3,5,5,4,Campo ,,Imaginación ,Capacidad de extracción ,Enseñar ,,,7,8,8,8,,Personal ,,Matemáticas ,Física ,Química ,Dibujo ,,7,10,8,9,,Ninguno ,S/carrera ,,,
20,Hombre,Ingeniería en Computación,18,5,5,4,3,4,5,5,1,1,1,3,Oficinas ,,Lógica ,Razonamiento ,Matemáticas ,Física ,Disciplina ,8,8,7,7,10,Personal ,,Cálculo ,Programación ,Estadística ,Física ,Álgebra ,9,9,9,9,9,Ninguno ,Similar ,,,
24,Hombre,Ingeniería industrial ,18,2,5,4,3,2,4,4,4,4,5,4,Oficinas ,,Razonamiento ,Toma de decisiones ,Ventas ,Trabajo bajo presión ,Matemáticas ,8,9,9,8,6,Personal ,,Matemáticas ,Marketing ,Toma de decisiones ,Manofactura ,Idioma ,6,7,8,8,9,Web / Redes Soc,Diferente ,,,
20,Hombre,Ingeniería en Computación,17,3,4,1,1,3,5,4,2,3,1,3,Extranjero ,,Disciplina ,Creatividad ,Trabajo ,Inteligencia ,Conocimiento ,7,8,6,9,8,Personal ,,Cálculo ,Física ,Álgebra ,Cibernética ,Redacción ,8,9,8,10,7,Tv/medios impresos ,S/carreta ,,,
20,Hombre,Ingeniería en Computación,17,4,5,5,4,5,1,1,1,5,5,4,Extranjero ,,Resolver problemas ,Plantear problemas ,Programar ,Trabajar en equipo ,Comunicación ,8,7,9,8,7,Personal ,,Programación de páginas web ,E-learning,POO,Cálculo ,Inglés ,10,9,10,10,9,Tv/medios impresos ,Diferente ,,,
21,Hombre,Ingeniería en Computación,18,5,5,5,5,2,1,1,1,1,1,5,Oficinas ,,Programación ,Obtener información ,Inglés ,Memoria ,Leer ,8,8,5,7,8,Personal ,,POO,EDA ll,Fundamentos dé programación ,GyPC,L. F. y A. ,8,8,9,7,8,Web / Redes Soc ,Diferente ,,,
23,Hombre,Ingeniería en Computación,16,4,4,5,5,2,1,5,2,4,4,4,Oficinas,,Trabajo en equipo,Paciencia,Responsabilidad,Comprensión,Dedicación,10,8,8,10,6,Personal,,Computación,Matemáticas,,,,10,10,,,,Web / Redes Soc,Diferente ,,,
25,Mujer,Ingeniería en Computación,18,4,4,5,5,5,5,5,5,2,1,1,Oficinas,,Autoaprendizaje,,,,,7,,,,,Personal,,Calculo,Cibernetica,,,,8,10,,,,Carrera de moda,S/carreta ,,,
23,Hombre,Ingeniería en Computación,19,4,2,2,1,1,1,1,1,5,4,1,Oficinas,,Análisis,Creatividad,Toma de decisiones,ser bilingüe,liderazgo,7,7,7,7,6,Personal,,Matemáticas,Física,,,,8,8,,,,Ninguno ,S/carreta ,,,
23,Hombre,Ingeniería en Computación,16,4,5,5,4,5,1,3,5,5,4,5,Oficinas,,Destreza,Estrategia,Retención,Calculo Mental,Imaginación,9,8,8,9,8,Personal,,Calculo,Física,Programación,Química,Ortografía,9,8,8,10,10,Web / Redes Soc,Diferente ,,,
20,Mujer,Ingeniería en Computación,13,5,5,5,5,4,1,1,1,4,1,5,Oficinas,,Trabajo en equipo,Análisis,Resolución de problemas,Lógica,,7,8,8,8,,Personal,,Matemáticas,Computación,Física,Inglés,,9,10,8,9,,Ninguno ,Similar,,,
22,Mujer,Ingeniería en Computación,19,3,4,1,1,4,5,4,2,3,1,3,Oficinas,,Disciplina ,Innovación ,Lógica ,Inteligencia ,Conocimiento ,7,8,6,9,8,Personal ,,Cálculo ,Física ,Álgebra ,,,10,9,10,,,Tv/medios impresos ,S/carreta ,,,
25,Mujer,Ingeniería en Telecomunicaciones,18,2,2,5,5,5,5,5,1,4,4,1,Extranjero,,Autoaprendizaje,ser bilingüe,Dedicación,,,8,9,8,,,Personal,,Física,Programación,Matemáticas,Calculo,,6,8,7,8,,Ninguno,S/carreta ,,,
24,Hombre,Ingeniería Geofísica,20,5,5,5,4,5,2,2,1,1,5,5,Campo,,Liderazgo,ser bilingüe,,,,7,6,,,,Personal,,Algebra,Cómputo,Geografía,Química,,8,6,10,7,,Ninguno,Similar,,,
21,Mujer,Ingeniería en Computación,19,4,3,4,4,5,3,4,4,4,4,4,Oficinas,,Proactivo,Paciencia,Logica,Liderazgo,Empatía,9,8,8,8,6,Personal,,Calculo,Cibernetica,Física,,,6,9,8,,,Ninguno,Similar,,,
22,Mujer,Ingeniería en Computación,17,4,5,2,5,2,5,5,4,2,2,1,Extranjero,,Administración,Razonamiento,Análisis,Inteligencia ,Trabajo en equipo,7,7,9,10,7,Personal,,Cálculo,Estádistica,Álgebra,Programación,Física,9,7,6,6,,Ninguno,Diferente ,,,
19,Hombre,Ingenieria Petrolera,17,3,3,4,1,5,1,1,1,5,5,4,Campo,,Perseverancia,Extrovertido,Liderazgo,Idioma,Radical,9,7,8,7,8,Personal,,calculo,quimica,fisica,geografia,ingles,8,10,9,10,10,TV/Medios impresos,s/carrera,,,
18,Hombre,Ingenieria Petrolera,17,5,5,4,2,4,4,4,3,3,4,4,Campo,,Liderazgo,Idioma,Objetivo,Ingenioso,Radical,8,9,8,8,7,Personal,,calculo,quimica,fisica,ingles,,8,6,9,10,,Ninguno,Diferente,,,
19,Hombre,Ingenieria Petrolera,17,5,5,4,4,5,1,1,5,5,4,2,Oficinas,,Idioma,Extrovertido,Sociable,Radical,,9,9,9,9,9,Personal,,quimica,calculo,fisica,,,8,8,7,,,Ninguno,s/carrera,,,
20,Hombre,Ingenieria Civil,18,5,5,4,5,2,5,3,1,3,4,3,extranjero,,Imaginacion,Liderazgo,Pensamiento matematico,etica profesional,redactar,8,8,9,9,9,Personal,,fisica,Matematicas,Quimica,,,6,8,7,,,Ninguno,Misma,,,
19,Hombre,Ingenieria Petrolera,17,5,5,4,1,2,5,4,4,4,2,2,Campo,,Liderazgo,Objetividad,Inteligencia,Esfuerzo,Idioma,7,10,10,9,7,Personal,,calculo,ingles,Quimica,fisica,psicologia,7,7,9,6,7,TV/Medios impresos,Diferente,,,
19,Hombre,Ingenieria Civil,17,5,5,5,5,4,5,5,1,1,1,2,Oficinas,,Creatividad,Resolver problemas ,,,,7,7,,,,Personal,,Matematicas,dibujo,fisica,,,8,8,9,,,Web / Redes Soc,s/carrera,,,
19,Hombre,Ingenieria Civil,15,2,3,3,2,4,4,4,5,4,3,4,Campo,,Analisis,Criterio,Analisis matematico,Liderazgo,Creatividad,7,8,6,7,8,Personal,,Algebra,calculo diferencial,calculo integral,probabilidad,ingles,8,9,9,7,8,Web / Redes Soc,Diferente,,,
20,Mujer,Ingenieria civil,16,5,5,3,2,5,4,4,1,1,1,4,Campo,,Liderazgo,Creatividad,,,,9,8,,,,Personal,,Fisica,calculo,Quimica,,,9,10,8,,,Web / Redes Soc,s/carrera,,,
20,Mujer,Ingenieria Civil,17,4,4,5,5,5,4,5,3,1,1,3,Campo,,Innovacion,Liderazgo,Creatividad,Iniciativa,,6,8,8,9,,Personal,,Fisica,Matematicas,diseño,Quimica,,8,9,10,10,,Ninguno,Diferente,,,
19,Hombre,Ingenieria Civil,17,5,5,5,5,5,4,3,3,3,4,5,Campo,,Habilidad Matematica,Liderazgo,Creatividad,capacidad de analisis,sociales,8,9,8,8,8,Personal,,Fisica,Matematicas,Quimica,dibujo,fisico-quimica,9,9,8,10,9,Ninguno,Diferente,,,
